lab_id,video_id,mouse1_strain,mouse1_color,mouse1_sex,mouse1_id,mouse1_age,mouse1_condition,mouse2_strain,mouse2_color,mouse2_sex,mouse2_id,mouse2_age,mouse2_condition,mouse3_strain,mouse3_color,mouse3_sex,mouse3_id,mouse3_age,mouse3_condition,mouse4_strain,mouse4_color,mouse4_sex,mouse4_id,mouse4_age,mouse4_condition,frames_per_second,video_duration_sec,pix_per_cm_approx,video_width_pix,video_height_pix,arena_width_cm,arena_height_cm,arena_shape,arena_type,body_parts_tracked,behaviors_labeled,tracking_method,actions_list,video_score
ElegantMink,1176870705,C57Bl/6J,black,male,23.0,,,C57Bl/6J,black,female,24.0,,hormone primed,,,,,,,,,,,,,30.0,1806.9,18.2,720,480,33.0,22.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,allogroom"", ""mouse1,mouse2,ejaculate"", ""mouse1,mouse2,intromit"", ""mouse1,mouse2,mount"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse2,self,rear""]",SLEAP,"['mount', 'allogroom', 'intromit', 'ejaculate', 'sniff', 'sniffgenital', 'rear']",0.38313433729705537
ElegantMink,1715945836,C57Bl/6J,black,male,31.0,,,C57Bl/6J,black,female,32.0,,hormone primed,,,,,,,,,,,,,30.0,1807.1,18.8,720,480,33.0,22.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,ejaculate"", ""mouse1,mouse2,intromit"", ""mouse1,mouse2,mount"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",SLEAP,"['selfgroom', 'mount', 'intromit', 'ejaculate', 'sniff', 'sniffgenital', 'rear']",0.36618896441179055
GroovyShrew,870599401,C57Bl/6J,black,female,4.0,,wireless device,C57Bl/6J,black,female,6.0,,wireless device,,,,,,,,,,,,,30.0,749.1,11.1,528,301,33.0,19.0,rectangular,neutral,"[""ear_left"", ""ear_right"", ""head"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,dig"", ""mouse1,self,rear"", ""mouse1,self,rest"", ""mouse1,self,run"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,defend"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,rear"", ""mouse2,self,rest"", ""mouse2,self,run"", ""mouse2,self,selfgroom""]",SLEAP,"['escape', 'selfgroom', 'rest', 'approach', 'run', 'defend', 'dig', 'climb', 'sniff', 'sniffgenital', 'rear']",0.28461615638038595
GroovyShrew,1194163628,C57Bl/6J,black,male,9.0,,cabled device,C57Bl/6J,black,female,1.0,,cabled device,,,,,,,,,,,,,30.0,716.9,11.4,540,300,33.0,19.0,rectangular,neutral,"[""ear_left"", ""ear_right"", ""head"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,intromit"", ""mouse1,mouse2,mount"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,dig"", ""mouse1,self,rear"", ""mouse1,self,rest"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,rear"", ""mouse2,self,rest"", ""mouse2,self,run"", ""mouse2,self,selfgroom""]",SLEAP,"['escape', 'selfgroom', 'mount', 'rest', 'approach', 'run', 'dig', 'intromit', 'climb', 'sniff', 'sniffgenital', 'rear']",0.27828901345796375
GroovyShrew,768075914,C57Bl/6J,black,male,18.0,,cabled device,C57Bl/6J,black,female,3.0,,cabled device,,,,,,,,,,,,,30.0,718.4,11.2,534,293,33.0,19.0,rectangular,neutral,"[""ear_left"", ""ear_right"", ""head"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,intromit"", ""mouse1,mouse2,mount"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,dig"", ""mouse1,self,rear"", ""mouse1,self,run"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,rear"", ""mouse2,self,rest"", ""mouse2,self,run"", ""mouse2,self,selfgroom""]",SLEAP,"['escape', 'selfgroom', 'mount', 'rest', 'approach', 'run', 'dig', 'intromit', 'climb', 'sniff', 'sniffgenital', 'rear']",0.27828901345796375
GroovyShrew,1864237378,C57Bl/6J,black,male,9.0,,cabled device,C57Bl/6J,black,female,2.0,,cabled device,,,,,,,,,,,,,30.0,734.2,11.4,536,314,33.0,19.0,rectangular,neutral,"[""ear_left"", ""ear_right"", ""head"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,dig"", ""mouse1,self,rear"", ""mouse1,self,rest"", ""mouse1,self,run"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,rear"", ""mouse2,self,run"", ""mouse2,self,selfgroom""]",SLEAP,"['escape', 'selfgroom', 'rest', 'approach', 'run', 'dig', 'climb', 'sniff', 'sniffgenital', 'rear']",0.26538538751943924
GroovyShrew,1205169652,C57Bl/6J,black,male,15.0,,wireless device,C57Bl/6J,black,female,8.0,,wireless device,,,,,,,,,,,,,30.0,1159.3,12.4,515,295,33.0,19.0,rectangular,neutral,"[""ear_left"", ""ear_right"", ""head"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,climb"", ""mouse1,self,dig"", ""mouse1,self,rear"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,dig"", ""mouse2,self,rear"", ""mouse2,self,rest"", ""mouse2,self,run"", ""mouse2,self,selfgroom""]",SLEAP,"['escape', 'selfgroom', 'rest', 'approach', 'run', 'dig', 'climb', 'sniff', 'sniffgenital', 'rear']",0.26538538751943924
UppityFerret,659002593,C57Bl/6N,black,male,29.0,8 weeks,,CD1,white,male,,4-6 weeks,,,,,,,,,,,,,,24.62,600.1,13.0,664,572,38.0,38.0,circular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""spine_1"", ""spine_2"", ""tail_base"", ""tail_middle_1"", ""tail_middle_2"", ""tail_tip""]","[""mouse1,mouse2,intromit"", ""mouse1,mouse2,mount"", ""mouse1,mouse2,reciprocalsniff"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,huddle"", ""mouse2,mouse1,reciprocalsniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",DeepLabCut,"['selfgroom', 'mount', 'reciprocalsniff', 'intromit', 'sniff', 'sniffgenital', 'huddle', 'rear']",0.17138387018563422
UppityFerret,532567355,C57Bl/6N,black,male,10.0,8 weeks,csds,CD1,white,male,,4-6 weeks,,,,,,,,,,,,,,24.98,600.2,12.5,592,576,38.0,38.0,circular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""spine_1"", ""spine_2"", ""tail_base"", ""tail_middle_1"", ""tail_middle_2"", ""tail_tip""]","[""mouse1,mouse2,reciprocalsniff"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,huddle"", ""mouse2,mouse1,reciprocalsniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",DeepLabCut,"['selfgroom', 'reciprocalsniff', 'sniff', 'sniffgenital', 'huddle', 'rear']",0.15848024424710971
UppityFerret,50183736,C57Bl/6N,black,male,1.0,8 weeks,,CD1,white,male,,4-6 weeks,,,,,,,,,,,,,,24.99,600.2,12.8,608,576,38.0,38.0,circular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""spine_1"", ""spine_2"", ""tail_base"", ""tail_middle_1"", ""tail_middle_2"", ""tail_tip""]","[""mouse1,mouse2,reciprocalsniff"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,huddle"", ""mouse2,mouse1,reciprocalsniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,rear""]",DeepLabCut,"['reciprocalsniff', 'sniff', 'sniffgenital', 'huddle', 'rear']",0.14978459214881104
UppityFerret,1610683375,C57Bl/6N,black,male,8.0,8 weeks,csds,CD1,white,male,,4-6 weeks,,,,,,,,,,,,,,25.0,600.1,13.0,664,572,38.0,38.0,circular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""spine_1"", ""spine_2"", ""tail_base"", ""tail_middle_1"", ""tail_middle_2"", ""tail_tip""]","[""mouse1,mouse2,reciprocalsniff"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,huddle"", ""mouse2,mouse1,reciprocalsniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,rear""]",DeepLabCut,"['reciprocalsniff', 'sniff', 'sniffgenital', 'huddle', 'rear']",0.14978459214881104
UppityFerret,602691466,C57Bl/6N,black,male,9.0,8 weeks,csds,CD1,white,male,,4-6 weeks,,,,,,,,,,,,,,24.99,600.2,12.8,608,576,38.0,38.0,circular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""spine_1"", ""spine_2"", ""tail_base"", ""tail_middle_1"", ""tail_middle_2"", ""tail_tip""]","[""mouse1,mouse2,reciprocalsniff"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffgenital"", ""mouse1,self,huddle"", ""mouse2,mouse1,reciprocalsniff"", ""mouse2,mouse1,sniffgenital"", ""mouse2,self,rear""]",DeepLabCut,"['reciprocalsniff', 'sniff', 'sniffgenital', 'huddle', 'rear']",0.14978459214881104
LyricalHare,1675029002,C57Bl/6J x Ai148,black,male,13.0,8-26 weeks,,CFW,white,male,,8-57 weeks,,,,,,,,,,,,,,120.0,301.2,10.9,560,680,30.8,22.2,rectangular,neutral,"[""ear_left"", ""ear_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,sniff"", ""mouse2,mouse1,defend"", ""mouse2,self,freeze""]",DeepLabCut,"['freeze', 'approach', 'sniff', 'attack', 'defend']",0.1399068747500337
LyricalHare,1023347338,C57Bl/6J x Ai148,black,male,12.0,8-26 weeks,,CFW,white,male,,8-57 weeks,,,,,,,,,,,,,,120.0,305.7,10.9,560,680,30.8,22.2,rectangular,neutral,"[""ear_left"", ""ear_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,sniff"", ""mouse2,mouse1,defend"", ""mouse2,self,freeze"", ""mouse2,self,rear""]",DeepLabCut,"['sniff', 'rear', 'freeze', 'defend']",0.13926188318641652
LyricalHare,1117939052,C57Bl/6J x Ai148,black,male,5.0,8-26 weeks,,CFW,white,male,,8-57 weeks,,,,,,,,,,,,,,120.0,306.4,10.9,560,680,30.8,22.2,rectangular,neutral,"[""ear_left"", ""ear_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,sniff"", ""mouse2,mouse1,defend"", ""mouse2,self,freeze"", ""mouse2,self,rear""]",DeepLabCut,"['sniff', 'rear', 'freeze', 'defend']",0.13926188318641652
LyricalHare,1300539709,C57Bl/6J x Ai148,black,male,13.0,8-26 weeks,,CFW,white,male,,8-57 weeks,,,,,,,,,,,,,,120.0,301.2,10.9,560,680,30.8,22.2,rectangular,neutral,"[""ear_left"", ""ear_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,sniff"", ""mouse2,mouse1,defend"", ""mouse2,self,freeze"", ""mouse2,self,rear""]",DeepLabCut,"['sniff', 'rear', 'freeze', 'defend']",0.13926188318641652
LyricalHare,2054411054,C57Bl/6J x Ai148,black,male,15.0,8-26 weeks,,CFW,white,male,,8-57 weeks,,,,,,,,,,,,,,120.0,306.3,10.9,560,680,30.8,22.2,rectangular,neutral,"[""ear_left"", ""ear_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,sniff"", ""mouse2,mouse1,defend"", ""mouse2,self,freeze"", ""mouse2,self,rear""]",DeepLabCut,"['sniff', 'rear', 'freeze', 'defend']",0.13926188318641652
BoisterousParrot,459610814,C57Bl/6N,black,female,6.0,7-14 weeks,,C57Bl/6N,black,female,12.0,7-14 weeks,dam,,,,,,,,,,,,,30.0,19800.9,5.5,300,300,45.0,45.0,square,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,shepherd"", ""mouse2,mouse1,shepherd""]",DeepLabCut,['shepherd'],0.12499998437500197
BoisterousParrot,1184291605,C57Bl/6N,black,female,1.0,7-14 weeks,,C57Bl/6N,black,female,7.0,7-14 weeks,dam,,,,,,,,,,,,,30.0,19800.7,5.5,300,300,45.0,45.0,square,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,shepherd"", ""mouse2,mouse1,shepherd""]",DeepLabCut,['shepherd'],0.12499998437500197
BoisterousParrot,1059582964,C57Bl/6N,black,female,3.0,7-14 weeks,,C57Bl/6N,black,female,9.0,7-14 weeks,dam,,,,,,,,,,,,,30.0,19800.9,5.5,300,300,45.0,45.0,square,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,shepherd"", ""mouse2,mouse1,shepherd""]",DeepLabCut,['shepherd'],0.12499998437500197
BoisterousParrot,402963089,C57Bl/6N,black,female,6.0,7-14 weeks,,C57Bl/6N,black,female,12.0,7-14 weeks,dam,,,,,,,,,,,,,30.0,19800.9,5.5,300,300,45.0,45.0,square,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,shepherd"", ""mouse2,mouse1,shepherd""]",DeepLabCut,['shepherd'],0.12499998437500197
BoisterousParrot,1985626297,C57Bl/6N,black,female,4.0,7-14 weeks,,C57Bl/6N,black,female,10.0,7-14 weeks,dam,,,,,,,,,,,,,30.0,19800.9,5.5,300,300,45.0,45.0,square,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,shepherd"", ""mouse2,mouse1,shepherd""]",DeepLabCut,['shepherd'],0.12499998437500197
